id,position,category,company,city,salary_min,salary_max,education,experience,publish_date,source,description,is_active
1,战略规划师,战略规划类,零重空间,广州,28,58,博士,5-10年,2026-04-11,Boss直聘,负责低空经济领域战略研究，分析行业政策与市场趋势，制定公司中长期发展规划,True
2,战略规划师,战略规划类,时的科技,苏州,28,59,硕士,5-10年,2026-02-06,猎聘,牵头低空经济产业生态研究，推动跨部门战略项目落地与资源整合,True
3,战略规划师,战略规划类,沃兰特,深圳,28,58,本科,5-10年,2026-03-08,猎聘,负责低空经济领域战略研究，分析行业政策与市场趋势，制定公司中长期发展规划,True
4,结构设计工程师,研发制造类,御风未来,上海,26,55,硕士,3-5年,2026-03-04,企业官网,参与飞行器结构强度分析、轻量化设计，输出3D模型及工程图纸,True
5,结构设计工程师,研发制造类,大疆创新,北京,25,54,硕士,5-10年,2026-02-16,拉勾,负责结构件试制跟产与试验验证，解决生产制造过程中的技术问题,True
6,结构设计工程师,研发制造类,亿航智能,广州,23,53,硕士,1-3年,2026-02-12,企业官网,负责结构件试制跟产与试验验证，解决生产制造过程中的技术问题,True
7,结构设计工程师,研发制造类,亿维特,上海,27,56,硕士,5-10年,2026-02-10,Boss直聘,负责eVTOL/无人机机体结构设计与优化，完成复合材料结构方案及详细设计,True
8,结构设计工程师,研发制造类,零重空间,合肥,23,53,硕士,5-10年,2026-03-01,Boss直聘,参与飞行器结构强度分析、轻量化设计，输出3D模型及工程图纸,True
9,结构设计工程师,研发制造类,星途智航,长沙,24,59,博士,5-10年,2026-04-18,拉勾,负责eVTOL/无人机机体结构设计与优化，完成复合材料结构方案及详细设计,True
10,结构设计工程师,研发制造类,天翎科,苏州,25,59,硕士,3-5年,2026-01-12,企业官网,参与飞行器结构强度分析、轻量化设计，输出3D模型及工程图纸,True
11,结构设计工程师,研发制造类,迅蚁科技,苏州,25,58,硕士,3-5年,2026-04-19,Boss直聘,参与飞行器结构强度分析、轻量化设计，输出3D模型及工程图纸,False
12,结构设计工程师,研发制造类,零重空间,合肥,26,54,硕士,3-5年,2026-04-08,企业官网,负责eVTOL/无人机机体结构设计与优化，完成复合材料结构方案及详细设计,True
13,结构设计工程师,研发制造类,大疆创新,广州,25,58,博士,5-10年,2026-01-03,拉勾,参与飞行器结构强度分析、轻量化设计，输出3D模型及工程图纸,True
14,结构设计工程师,研发制造类,亿航智能,南京,25,54,硕士,3-5年,2026-02-09,企业官网,负责eVTOL/无人机机体结构设计与优化，完成复合材料结构方案及详细设计,True
15,结构设计工程师,研发制造类,沃兰特,长沙,25,58,硕士,5-10年,2026-03-29,拉勾,参与飞行器结构强度分析、轻量化设计，输出3D模型及工程图纸,True
16,动力系统工程师,研发制造类,沃兰特,南京,32,68,本科,5-10年,2026-01-18,Boss直聘,负责电动垂直起降飞行器动力系统设计与集成，包括电机、电调、螺旋桨匹配,True
17,动力系统工程师,研发制造类,联合飞机,西安,28,63,硕士,3-5年,2026-04-18,企业官网,跟踪电推进技术发展趋势，完成下一代动力系统技术预研,True
18,动力系统工程师,研发制造类,中航无人机,深圳,30,66,博士,1-3年,2026-03-28,猎聘,参与动力系统台架测试与整机联调，优化动力系统效率与可靠性,True
19,动力系统工程师,研发制造类,华羽先翔,广州,30,65,硕士,3-5年,2026-03-12,猎聘,参与动力系统台架测试与整机联调，优化动力系统效率与可靠性,True
20,动力系统工程师,研发制造类,御风未来,西安,28,63,博士,1-3年,2026-03-08,企业官网,参与动力系统台架测试与整机联调，优化动力系统效率与可靠性,True
21,动力系统工程师,研发制造类,星途智航,上海,30,65,硕士,5-10年,2026-02-02,Boss直聘,参与动力系统台架测试与整机联调，优化动力系统效率与可靠性,True
22,动力系统工程师,研发制造类,迅蚁科技,南京,30,64,本科,3-5年,2026-04-05,猎聘,参与动力系统台架测试与整机联调，优化动力系统效率与可靠性,True
23,动力系统工程师,研发制造类,大疆创新,苏州,31,65,本科,5-10年,2026-02-12,拉勾,负责电动垂直起降飞行器动力系统设计与集成，包括电机、电调、螺旋桨匹配,True
24,动力系统工程师,研发制造类,时的科技,合肥,29,65,博士,5-10年,2026-03-14,拉勾,参与动力系统台架测试与整机联调，优化动力系统效率与可靠性,True
25,动力系统工程师,研发制造类,亿维特,成都,29,65,硕士,3-5年,2026-01-22,拉勾,负责电动垂直起降飞行器动力系统设计与集成，包括电机、电调、螺旋桨匹配,True
26,动力系统工程师,研发制造类,星途智航,深圳,30,66,本科,5-10年,2026-04-16,Boss直聘,参与动力系统台架测试与整机联调，优化动力系统效率与可靠性,False
27,动力系统工程师,研发制造类,零重力,深圳,31,64,本科,3-5年,2026-03-08,企业官网,跟踪电推进技术发展趋势，完成下一代动力系统技术预研,True
28,飞控算法工程师,研发制造类,天翎科,苏州,38,84,硕士,1-3年,2026-04-30,猎聘,参与飞控系统软件架构设计，配合硬件团队完成飞控板调试,True
29,飞控算法工程师,研发制造类,迅蚁科技,西安,40,83,硕士,3-5年,2026-01-17,Boss直聘,负责飞行控制算法研发，包括姿态控制、轨迹跟踪、自主避障等核心算法,True
30,飞控算法工程师,研发制造类,大疆创新,深圳,39,79,硕士,3-5年,2026-04-24,企业官网,负责飞行控制算法研发，包括姿态控制、轨迹跟踪、自主避障等核心算法,True
31,飞控算法工程师,研发制造类,亿维特,北京,41,79,博士,3-5年,2026-04-15,猎聘,负责飞行控制算法研发，包括姿态控制、轨迹跟踪、自主避障等核心算法,True
32,飞控算法工程师,研发制造类,大疆创新,西安,40,82,本科,3-5年,2026-01-03,猎聘,负责飞行控制算法研发，包括姿态控制、轨迹跟踪、自主避障等核心算法,True
33,飞控算法工程师,研发制造类,亿航智能,成都,41,83,博士,1-3年,2026-03-06,Boss直聘,负责飞行控制算法研发，包括姿态控制、轨迹跟踪、自主避障等核心算法,True
34,飞控算法工程师,研发制造类,航天时代飞鹏,上海,39,80,本科,1-3年,2026-01-01,企业官网,参与飞控系统软件架构设计，配合硬件团队完成飞控板调试,True
35,飞控算法工程师,研发制造类,联合飞机,合肥,40,79,硕士,5-10年,2026-04-27,猎聘,参与飞控系统软件架构设计，配合硬件团队完成飞控板调试,True
36,飞控算法工程师,研发制造类,零重力,长沙,40,78,博士,3-5年,2026-04-19,拉勾,负责飞行控制算法研发，包括姿态控制、轨迹跟踪、自主避障等核心算法,True
